DATE,HomePriceIndex,InterestRate,UnemploymentRate,MedianHouseholdIncome,HousingStarts,CPI
1987-01-31,63.965,9.08,6.6,60760,1774.0,111.4
1987-02-28,64.425,9.07,6.6,60760,1784.0,111.8
1987-03-31,64.735,9.03,6.6,60760,1726.0,112.2
1987-04-30,65.132,10.37,6.3,60760,1614.0,112.7
1987-05-31,65.564,10.7,6.3,60760,1628.0,113.0
1987-06-30,66.071,10.35,6.2,60760,1594.0,113.5
1987-07-31,66.507,10.27,6.1,60760,1575.0,113.8
1987-08-31,66.938,10.33,6.0,60760,1605.0,114.3
1987-09-30,67.33,11.02,5.9,60760,1695.0,114.7
1987-10-31,67.738,10.97,6.0,60760,1515.0,115.0
1987-11-30,68.107,10.55,5.8,60760,1656.0,115.4
1987-12-31,68.506,10.61,5.7,60760,1400.0,115.6
1988-01-31,68.858,10.16,5.7,61210,1271.0,116.0
1988-02-29,69.262,9.87,5.7,61210,1473.0,116.2
1988-03-31,69.638,9.99,5.7,61210,1532.0,116.5
1988-04-30,69.977,10.28,5.4,61210,1573.0,117.2
1988-05-31,70.42699999999999,10.58,5.6,61210,1421.0,117.5
1988-06-30,70.889,10.4,5.4,61210,1478.0,118.0
1988-07-31,71.354,10.49,5.4,61210,1467.0,118.5
1988-08-31,71.8,10.67,5.6,61210,1493.0,119.0
1988-09-30,72.241,10.42,5.4,61210,1492.0,119.5
1988-10-31,72.63600000000001,10.22,5.4,61210,1522.0,119.9
1988-11-30,73.071,10.39,5.3,61210,1569.0,120.3
1988-12-31,73.465,10.77,5.3,61210,1563.0,120.7
1989-01-31,73.947,10.6,5.4,62260,1621.0,121.2
1989-02-28,74.383,10.78,5.2,62260,1425.0,121.6
1989-03-31,74.778,11.19,5.0,62260,1422.0,122.2
1989-04-30,75.085,11.03,5.2,62260,1339.0,123.1
1989-05-31,75.306,10.5,5.2,62260,1331.0,123.7
1989-06-30,75.479,10.07,5.3,62260,1397.0,124.1
1989-07-31,75.657,9.81,5.2,62260,1427.0,124.5
1989-08-31,75.835,10.21,5.2,62260,1332.0,124.5
1989-09-30,76.056,10.16,5.3,62260,1279.0,124.8
1989-10-31,76.283,9.82,5.3,62260,1410.0,125.4
1989-11-30,76.521,9.74,5.4,62260,1351.0,125.9
1989-12-31,76.705,9.78,5.4,62260,1251.0,126.3
1990-01-31,76.89699999999999,10.05,5.4,61500,1551.0,127.5
1990-02-28,77.053,10.31,5.3,61500,1437.0,128.0
1990-03-31,77.20100000000001,10.22,5.2,61500,1289.0,128.6
1990-04-30,77.278,10.56,5.4,61500,1248.0,128.9
1990-05-31,77.297,10.33,5.4,61500,1212.0,129.1
1990-06-30,77.259,10.15,5.2,61500,1177.0,129.9
1990-07-31,77.139,9.98,5.5,61500,1171.0,130.5
1990-08-31,77.009,10.24,5.7,61500,1115.0,131.6
1990-09-30,76.85,10.22,5.9,61500,1110.0,132.5
1990-10-31,76.699,10.17,5.9,61500,1014.0,133.4
1990-11-30,76.37,9.9,6.2,61500,1145.0,133.7
1990-12-31,76.185,9.68,6.3,61500,969.0,134.2
1991-01-31,75.916,9.61,6.4,59710,798.0,134.7
1991-02-28,75.734,9.29,6.6,59710,965.0,134.8
1991-03-31,75.569,9.52,6.8,59710,921.0,134.8
1991-04-30,75.566,9.53,6.7,59710,1001.0,135.1
1991-05-31,75.765,9.45,6.9,59710,996.0,135.6
1991-06-30,75.992,9.67,6.9,59710,1036.0,136.0
1991-07-31,76.082,9.5,6.8,59710,1063.0,136.2
1991-08-31,76.109,9.15,6.9,59710,1049.0,136.6
1991-09-30,76.193,8.92,6.9,59710,1015.0,137.0
1991-10-31,76.075,8.91,7.0,59710,1079.0,137.2
1991-11-30,76.014,8.7,7.0,59710,1103.0,137.8
1991-12-31,76.056,8.35,7.3,59710,1079.0,138.2
1992-01-31,76.087,8.68,7.3,59210,1176.0,138.3
1992-02-29,76.156,8.83,7.4,59210,1250.0,138.6
1992-03-31,76.277,8.98,7.4,59210,1297.0,139.1
1992-04-30,76.346,8.85,7.4,59210,1099.0,139.4
1992-05-31,76.399,8.6,7.6,59210,1214.0,139.7
1992-06-30,76.332,8.43,7.8,59210,1145.0,140.1
1992-07-31,76.264,8.05,7.7,59210,1139.0,140.5
1992-08-31,76.23,8.01,7.6,59210,1226.0,140.8
1992-09-30,76.23899999999999,8.02,7.6,59210,1186.0,141.1
1992-10-31,76.376,8.21,7.3,59210,1244.0,141.7
1992-11-30,76.559,8.29,7.4,59210,1214.0,142.1
1992-12-31,76.67399999999999,8.14,7.4,59210,1227.0,142.3
1993-01-31,76.78399999999999,7.86,7.3,58920,1210.0,142.8
1993-02-28,76.837,7.53,7.1,58920,1210.0,143.1
1993-03-31,76.867,7.5,7.0,58920,1083.0,143.3
1993-04-30,76.936,7.43,7.1,58920,1258.0,143.8
1993-05-31,77.038,7.5,7.1,58920,1260.0,144.2
1993-06-30,77.243,7.34,7.0,58920,1280.0,144.3
1993-07-31,77.429,7.25,6.9,58920,1254.0,144.5
1993-08-31,77.613,6.97,6.8,58920,1300.0,144.8
1993-09-30,77.795,6.95,6.7,58920,1343.0,145.0
1993-10-31,77.941,6.86,6.8,58920,1392.0,145.6
1993-11-30,78.149,7.31,6.6,58920,1376.0,146.0
1993-12-31,78.32600000000001,7.13,6.5,58920,1533.0,146.3
1994-01-31,78.592,6.97,6.6,59550,1272.0,146.3
1994-02-28,78.72800000000001,7.32,6.6,59550,1337.0,146.7
1994-03-31,78.85600000000001,7.8,6.5,59550,1564.0,147.1
1994-04-30,78.988,8.32,6.4,59550,1465.0,147.2
1994-05-31,79.222,8.53,6.1,59550,1526.0,147.5
1994-06-30,79.423,8.46,6.1,59550,1409.0,147.9
1994-07-31,79.595,8.57,6.1,59550,1439.0,148.4
1994-08-31,79.782,8.56,6.0,59550,1450.0,149.0
1994-09-30,79.919,8.82,5.9,59550,1474.0,149.3
1994-10-31,80.066,9.03,5.8,59550,1450.0,149.4
1994-11-30,80.15,9.25,5.6,59550,1511.0,149.8
1994-12-31,80.297,9.18,5.5,59550,1455.0,150.1
1995-01-31,80.42699999999999,9.13,5.6,61440,1407.0,150.5
1995-02-28,80.528,8.73,5.4,61440,1316.0,150.9
1995-03-31,80.598,8.38,5.4,61440,1249.0,151.2
1995-04-30,80.661,8.26,5.8,61440,1267.0,151.8
1995-05-31,80.704,7.85,5.6,61440,1314.0,152.1
1995-06-30,80.78399999999999,7.53,5.6,61440,1281.0,152.4
1995-07-31,80.938,7.79,5.7,61440,1461.0,152.6
1995-08-31,81.11,7.88,5.7,61440,1416.0,152.9
1995-09-30,81.307,7.62,5.6,61440,1369.0,153.1
1995-10-31,81.482,7.45,5.5,61440,1369.0,153.5
1995-11-30,81.619,7.35,5.6,61440,1452.0,153.7
1995-12-31,81.737,7.11,5.6,61440,1431.0,153.9
1996-01-31,81.834,7.0,5.6,62350,1467.0,154.7
1996-02-29,81.954,7.32,5.5,62350,1491.0,155.0
1996-03-31,82.195,7.69,5.5,62350,1424.0,155.5
1996-04-30,82.421,7.92,5.6,62350,1516.0,156.1
1996-05-31,82.61,8.03,5.6,62350,1504.0,156.4
1996-06-30,82.75200000000001,8.29,5.3,62350,1467.0,156.7
1996-07-31,82.928,8.19,5.5,62350,1472.0,157.0
1996-08-31,83.086,8.09,5.1,62350,1557.0,157.2
1996-09-30,83.256,8.16,5.2,62350,1475.0,157.7
1996-10-31,83.37700000000001,7.86,5.2,62350,1392.0,158.2
1996-11-30,83.552,7.52,5.4,62350,1489.0,158.7
1996-12-31,83.721,7.64,5.4,62350,1370.0,159.1
1997-01-31,83.955,7.88,5.3,63640,1355.0,159.4
1997-02-28,84.181,7.65,5.2,63640,1486.0,159.7
1997-03-31,84.45100000000001,7.97,5.2,63640,1457.0,159.8
1997-04-30,84.62299999999999,8.08,5.1,63640,1492.0,159.9
1997-05-31,84.86200000000001,7.94,4.9,63640,1442.0,159.9
1997-06-30,85.08,7.58,5.0,63640,1494.0,160.2
1997-07-31,85.33200000000001,7.43,4.9,63640,1437.0,160.4
1997-08-31,85.573,7.58,4.8,63640,1390.0,160.8
1997-09-30,85.851,7.28,4.9,63640,1546.0,161.2
1997-10-31,86.147,7.21,4.7,63640,1520.0,161.5
1997-11-30,86.633,7.17,4.6,63640,1510.0,161.7
1997-12-31,87.09299999999999,6.99,4.7,63640,1566.0,161.8
1998-01-31,87.615,7.12,4.6,65980,1525.0,162.0
1998-02-28,88.00299999999999,7.09,4.6,65980,1584.0,162.0
1998-03-31,88.44200000000001,7.08,4.7,65980,1567.0,162.0
1998-04-30,88.87899999999999,7.15,4.3,65980,1540.0,162.2
1998-05-31,89.36399999999999,7.07,4.4,65980,1536.0,162.6
1998-06-30,89.845,6.96,4.5,65980,1641.0,162.8
1998-07-31,90.31,6.97,4.5,65980,1698.0,163.2
1998-08-31,90.786,6.92,4.5,65980,1614.0,163.4
1998-09-30,91.259,6.64,4.6,65980,1582.0,163.5
1998-10-31,91.717,6.83,4.5,65980,1715.0,163.9
1998-11-30,92.2,6.78,4.4,65980,1660.0,164.1
1998-12-31,92.713,6.83,4.4,65980,1792.0,164.4
